STITCH ID STEREO,MEDRA TERM UMLS CONCEPT ID,se_count
CID000003883,"['C0235378', 'C0162119', 'C0235315', 'C0038454', 'C0085636', 'C0038362', 'C0042029', 'C0006277', 'C0027497', 'C0027947', 'C0007785', 'C0038450', 'C0011616', 'C0151828', 'C0344232', 'C0438215', 'C0018520', 'C0497156', 'C0877047', 'C0013404', 'C0009676', 'C0242350', 'C0039584', 'C2242737', 'C0002170', 'C0232462', 'C0026858', 'C2047937', 'C0948525', 'C0004093', 'C0855242', 'C0030554', 'C0151786', 'C0019521', 'C1527344', 'C0014848', 'C0005940', 'C0017979', 'C0014591', 'C0009806', 'C0020039', 'C0020580', 'C0013447', 'C0033247', 'C0020615', 'C0234458', 'C0234233', 'C0018021', 'C0031350', 'C0011175', 'C0025222', 'C0014335', 'C0037036', 'C0149931', 'C0023530', 'C0005818', 'C0035304', 'C0017181', 'C1368065', 'C0012569', 'C0020517', 'C0030312', 'C0042267', 'C0085649', 'C0022346', 'C0151723', 'C3263723', 'C0015967', 'C0002871', 'C0026826', 'C0020175', 'C0016204', 'C0009324', 'C0151830', 'C0687713', 'C0000737', 'C0006849', 'C0011991', 'C0085606', 'C0231528', 'C0267596', 'C0017675', 'C0006826', 'C0227791', 'C0085593', 'C0035455', 'C0020433', 'C1167965', 'C0043144', 'C0027051', 'C0009319', 'C0040264', 'C0042571', 'C0011603', 'C0034886', 'C0020456', 'C0151904', 'C0042063', 'C1510471', 'C0040409', 'C0016658', 'C2830004', 'C1443060', 'C0017152', 'C0011168', 'C0041657', 'C0149745', 'C2364111', 'C0017565', 'C0391870', 'C0011849', 'C0025323', 'C0038325', 'C2225524', 'C0011053', 'C0041349', 'C0235639', 'C0018939', 'C0031117', 'C0009763', 'C0037274', 'C1565489', 'C0014457', 'C0236075', 'C0041912', 'C0032584', 'C0004604', 'C0014868', 'C0014852', 'C0028259', 'C0233472', 'C0021368', 'C0206062', 'C0011551', 'C0851578', 'C0233494', 'C0018418', 'C0018681', 'C0231218', 'C0021400', 'C0021177', 'C0002994', 'C0037763', 'C0040435', 'C0013298', 'C0236048', 'C0687707', 'C0151827', 'C0039070', 'C1510410', 'C0085632', 'C0014518', 'C0001824', 'C0003811', 'C0004096', 'C0020473', 'C0039231', 'C0030252', 'C0023510', 'C0232461', 'C0018500', 'C0233471', 'C0085633', 'C0035078', 'C0036974', 'C0002874', 'C0085631', 'C0151908', 'C0239295', 'C0424295', 'C0036454', 'C0151539', 'C0558489', 'C0017601', 'C0262397', 'C0428977', 'C0151766', 'C0151905', 'C0162287', 'C0009450', 'C0007114', 'C0314719', 'C3489393', 'C0032617', 'C0852911', 'C0232726', 'C1291078', 'C0042023', 'C0002622', 'C0948089', 'C0032285', 'C0151970', 'C0037822', 'C0235431', 'C0029882', 'C0853149', 'C0030305', 'C0392525', 'C0036572', 'C0014724', 'C0013395', 'C0043352', 'C0003467', 'C0007859', 'C0151735', 'C0008031', 'C0039971', 'C0018099', 'C1384353', 'C0029408', 'C0497327', 'C0008350', 'C0162429', 'C0002878', 'C0017178', 'C0027932', 'C0423791', 'C0013604', 'C0039103', 'C0018524', 'C0162830', 'C0003864', 'C0013390', 'C0043094', 'C0002962', 'C0002792', 'C0030193', 'C0015230', 'C0034150', 'C0002418', 'C0015672', 'C0034155', 'C0020538', 'C0037199', 'C0025345', 'C0018991', 'C0086543', 'C0010200', 'C0006840', 'C0024902', 'C0040034', 'C0600142', 'C0026857', 'C0005741', 'C0034069', 'C0027121', 'C0948594', 'C0016655', 'C0014742', 'C0042109', 'C0042963', 'C0030794', 'C0003862', 'C0032226', 'C0080274', 'C0343886', 'C0917801', 'C1142412', 'C0029134', 'C0027769', 'C0015397', 'C0022408', 'C0031256', 'C0000731', 'C0013378', 'C0019079', 'C0020625', 'C1320474', 'C0234215', 'C3665347', 'C0014866', 'C0404521', 'C0011124', 'C0001925', 'C0018926', 'C0013428', 'C0027339', 'C0438142', 'C0009938', 'C0012833', 'C0019158', 'C0221776', 'C0020458', 'C0020676', 'C0020649', 'C0340865', 'C0040822', 'C0853760', 'C0018965', 'C0030846', 'C0033774', 'C0522063', 'C0017160']",293
CID000003899,"['C0235378', 'C0001364', 'C0000768', 'C0085605', 'C0038362', 'C0042029', 'C0006277', 'C0027497', 'C0027947', 'C0344232', 'C0029944', 'C0011616', 'C0013595', 'C0497156', 'C0019080', 'C0013404', 'C0019270', 'C0151907', 'C0029445', 'C0267792', 'C0002170', 'C0027813', 'C0403632', 'C0232462', 'C0235996', 'C2047937', 'C0004093', 'C0024137', 'C0014130', 'C0030554', 'C0151825', 'C0521987', 'C0013146', 'C0014591', 'C0009806', 'C0041296', 'C0853034', 'C0019360', 'C0031350', 'C0025222', 'C0149931', 'C0023530', 'C0004364', 'C0020517', 'C0030312', 'C0085649', 'C0022346', 'C0015967', 'C0002871', 'C0001175', 'C0160390', 'C0016204', 'C0687713', 'C0000737', 'C0006849', 'C0011991', 'C0239571', 'C0041969', 'C0231528', 'C0085593', 'C0035455', 'C0021053', 'C0013491', 'C0030232', 'C0009319', 'C0018944', 'C0011603', 'C0019348', 'C0020456', 'C0042571', 'C0497247', 'C0004936', 'C0010692', 'C1443060', 'C0017152', 'C0029118', 'C0232849', 'C0149745', 'C0011849', 'C0038325', 'C0018939', 'C0031117', 'C0009763', 'C0037274', 'C0014457', 'C2363730', 'C2363731', 'C0041912', 'C0032584', 'C0039520', 'C0004604', 'C0014868', 'C0021368', 'C0206062', 'C0851578', 'C0006444', 'C0018681', 'C0027651', 'C0042384', 'C0231218', 'C0021400', 'C0002994', 'C0037763', 'C0020550', 'C0025061', 'C0000833', 'C0040435', 'C0702166', 'C0152081', 'C0041582', 'C0033575', 'C0014518', 'C0001824', 'C0003811', 'C0004096', 'C0007222', 'C0020473', 'C0030252', 'C0039231', 'C0035078', 'C0010709', 'C0151908', 'C0231441', 'C0151763', 'C0043096', 'C0011630', 'C0020621', 'C0151766', 'C0009450', 'C0042023', 'C2242588', 'C0032285', 'C0009782', 'C0853149', 'C0027796', 'C0030305', 'C0027765', 'C0013395', 'C0043352', 'C0085682', 'C0003467', 'C0007859', 'C0008031', 'C1384353', 'C0029408', 'C0008350', 'C0162429', 'C0017178', 'C0423791', 'C0039103', 'C0243026', 'C0003864', 'C0033860', 'C0017574', 'C0162316', 'C0002962', 'C0002792', 'C0030193', 'C0015230', 'C0037299', 'C0002418', 'C0518015', 'C0015672', 'C0020538', 'C0037199', 'C0025345', 'C0086543', 'C0010200', 'C0042075', 'C0006145', 'C0006840', 'C0040034', 'C0038363', 'C0020540', 'C0034069', 'C0042963', 'C0948594', 'C0023895', 'C0014742', 'C0042109', 'C0030794', 'C0003862', 'C0035243', 'C0917801', 'C0020569', 'C1142412', 'C0474378', 'C0015397', 'C0022408', 'C0424605', 'C0013378', 'C0221333', 'C0234215', 'C0151937', 'C0700345', 'C0001925', 'C0281981', 'C0013428', 'C0027339', 'C0009938', 'C0012833', 'C0018799', 'C0019158', 'C0020458', 'C1318520', 'C0020649', 'C0340865', 'C1609512', 'C0018965', 'C0033774', 'C0020546', 'C0008370', 'C0042345', 'C0017160']",214
CID000003902,"['C0038454', 'C0038362', 'C0042029', 'C0027497', 'C0344232', 'C0007785', 'C0019080', 'C0042487', 'C0042769', 'C0007286', 'C0013404', 'C0023380', 'C0267792', 'C0854069', 'C0002170', 'C0232462', 'C0026858', 'C2047937', 'C0004093', 'C0030554', 'C0151825', 'C0020580', 'C0005940', 'C0009806', 'C0233794', 'C0022107', 'C0011570', 'C0016382', 'C0042373', 'C0023530', 'C0085649', 'C0018801', 'C0015967', 'C0476280', 'C0687713', 'C0000737', 'C0011991', 'C0013922', 'C0041969', 'C0221203', 'C0231528', 'C0227791', 'C0006826', 'C0235266', 'C0027051', 'C0042571', 'C0011603', 'C0004936', 'C2830004', 'C0016658', 'C1443060', 'C0025320', 'C0025517', 'C2979982', 'C0476089', 'C0037274', 'C0236075', 'C0032584', 'C0004604', 'C0233494', 'C0018681', 'C0027651', 'C0340726', 'C0231218', 'C0021400', 'C0002994', 'C0025061', 'C0014518', 'C0007222', 'C0232461', 'C0039231', 'C0030252', 'C0007787', 'C0010709', 'C0151908', 'C0520589', 'C0151744', 'C0043096', 'C0022658', 'C0034065', 'C0024236', 'C0009450', 'C0042023', 'C0948089', 'C2937358', 'C0009782', 'C0028081', 'C0018989', 'C0029453', 'C0027765', 'C0235437', 'C0013395', 'C0043352', 'C0003467', 'C0008031', 'C0014173', 'C0039971', 'C1384353', 'C0031542', 'C0162429', 'C0423791', 'C0017178', 'C0040046', 'C0013604', 'C0030196', 'C0029456', 'C0003864', 'C0043094', 'C0002962', 'C0002792', 'C0030193', 'C0015230', 'C0032227', 'C0234913', 'C0392699', 'C0518015', 'C0553692', 'C0596240', 'C0015672', 'C0020538', 'C0155773', 'C0086543', 'C0020443', 'C0010200', 'C0042075', 'C0520587', 'C0006145', 'C0024902', 'C0262985', 'C0600142', 'C0151942', 'C1956346', 'C0026857', 'C0042963', 'C0948594', 'C0016655', 'C0014742', 'C0042109', 'C0003862', 'C0020437', 'C0917801', 'C0027769', 'C0015397', 'C0013378', 'C0234215', 'C0854113', 'C0012833', 'C0018799', 'C0019158', 'C0020458', 'C0033774']",151
CID000003939,"['C0013362', 'C0027497', 'C0344232', 'C0009421', 'C0151740', 'C0009676', 'C0023380', 'C0242350', 'C0003813', 'C0520966', 'C0002170', 'C0235086', 'C0232462', 'C0030353', 'C0016436', 'C0004093', 'C3160741', 'C0151786', 'C0017979', 'C0015371', 'C0151564', 'C0233794', 'C0018021', 'C0029124', 'C0011175', 'C0009024', 'C0037036', 'C0011334', 'C0240211', 'C0015967', 'C0028738', 'C0026826', 'C0016204', 'C0687713', 'C0000737', 'C0011991', 'C0038999', 'C1167965', 'C0040264', 'C0042571', 'C0011603', 'C0020456', 'C0162283', 'C2830004', 'C0033845', 'C0028961', 'C1443060', 'C0017152', 'C0041657', 'C0027145', 'C0424230', 'C0018681', 'C0002994', 'C0020550', 'C0085602', 'C0039070', 'C0003811', 'C0277925', 'C0036974', 'C0085631', 'C0151908', 'C0036454', 'C0043096', 'C0428977', 'C0085628', 'C0032617', 'C0853895', 'C0231530', 'C0042024', 'C0036572', 'C0013395', 'C0043352', 'C0039971', 'C0023518', 'C0013604', 'C0015300', 'C0018524', 'C0033860', 'C0043094', 'C0015230', 'C0037299', 'C0015672', 'C0549249', 'C0020502', 'C0042963', 'C0948594', 'C0003862', 'C0020437', 'C0020569', 'C0029134', 'C0549622', 'C0026896', 'C0456909', 'C0475858', 'C0013378', 'C0234215', 'C0004134', 'C0235710', 'C0001925', 'C0012833', 'C0852810', 'C0020676', 'C0020649', 'C0040822', 'C0393593']",105
CID000003948,"['C0085636', 'C0038362', 'C0027497', 'C0038450', 'C0013595', 'C0497156', 'C0042769', 'C0836924', 'C0009421', 'C0013404', 'C0009676', 'C0151907', 'C0039503', 'C0232462', 'C0542571', 'C2047937', 'C0004093', 'C0151798', 'C0030554', 'C0019521', 'C0001122', 'C0014591', 'C0009806', 'C0233632', 'C0020615', 'C0016382', 'C0031350', 'C0028084', 'C0023530', 'C0017181', 'C1368065', 'C0012569', 'C0020517', 'C1257843', 'C0042267', 'C0162834', 'C0018801', 'C0002871', 'C0042035', 'C0026826', 'C0028738', 'C0016204', 'C0687713', 'C0000737', 'C0011991', 'C0231528', 'C0403723', 'C0853761', 'C0227791', 'C0085593', 'C0035455', 'C1167965', 'C0340464', 'C0026946', 'C0027051', 'C0040264', 'C0151579', 'C0042571', 'C0011603', 'C0020456', 'C2830004', 'C1306341', 'C1443060', 'C0011168', 'C0041657', 'C0085702', 'C1142011', 'C0038325', 'C0233414', 'C0025874', 'C0041349', 'C0031117', 'C0338831', 'C0009763', 'C0037274', 'C0003537', 'C0014457', 'C0236075', 'C0004604', 'C0011551', 'C0240717', 'C1535950', 'C0233494', 'C0018681', 'C0042384', 'C1456784', 'C0231218', 'C0002994', 'C0037763', 'C0349231', 'C0013456', 'C0086565', 'C0151827', 'C0039070', 'C0007820', 'C0014518', 'C0001824', 'C0003811', 'C0232461', 'C0039231', 'C0521839', 'C0035078', 'C0036974', 'C0085631', 'C0151596', 'C0424295', 'C0151539', 'C0237849', 'C0006266', 'C0428977', 'C0034065', 'C0032617', 'C0948089', 'C0085932', 'C0231530', 'C0235431', 'C0022904', 'C0392525', 'C0040479', 'C0600228', 'C0036572', 'C0013395', 'C0043352', 'C0003467', 'C0034063', 'C0008031', 'C0235063', 'C0039971', 'C0018099', 'C0031542', 'C0023518', 'C0002878', 'C0079102', 'C0013604', 'C0014743', 'C0878544', 'C0018524', 'C0162830', 'C0002962', 'C0002792', 'C0034150', 'C0015230', 'C0029191', 'C0037299', 'C0015672', 'C0020538', 'C0025345', 'C0010200', 'C0006840', 'C0040034', 'C0600142', 'C0021845', 'C0042963', 'C0948594', 'C0042109', 'C0014742', 'C0080274', 'C0035243', 'C0003862', 'C0917801', 'C0027769', 'C0014534', 'C0011606', 'C0026896', 'C0013378', 'C0234215', 'C0004134', 'C3665347', 'C0404521', 'C0700345', 'C0001925', 'C0013428', 'C0241705', 'C0012833', 'C0019158', 'C0003460', 'C0020458', 'C0020649', 'C0340865', 'C0040822', 'C1609512', 'C0010520', 'C0018965', 'C0033774', 'C0855775']",185
CID000003950,"['C0235378', 'C0242528', 'C0013362', 'C0038362', 'C0027497', 'C0518015', 'C0019080', 'C0035078', 'C0023380', 'C0040034', 'C0334044', 'C0002170', 'C0016059', 'C0232462', 'C0009450', 'C0595916', 'C0034069', 'C0042963', 'C1142499', 'C0456909', 'C0235896', 'C2363730', 'C2363731', 'C0004134', 'C0029124', 'C3665347', 'C0023530', 'C0085669', 'C0919924', 'C0233407', 'C0009938', 'C0027651', 'C0029408', 'C0030312', 'C0015967', 'C0235031']",36
CID000003954,"['C0016204', 'C0014518', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0027497', 'C0002792', 'C0015230', 'C0021053', 'C0015672', 'C0042075', 'C0011603', 'C0030446', 'C0549249', 'C0150450', 'C2830004', 'C0004093', 'C0025160', 'C0042963', 'C0042109', 'C0232492', 'C0014742', 'C0041657', 'C0080274', 'C0038325', 'C0085932', 'C0009806', 'C0000731', 'C0037274', 'C0234215', 'C0027765', 'C0013395', 'C0043352', 'C0012833', 'C0018681', 'C0020517', 'C0340865', 'C0002994', 'C0017178', 'C0033774', 'C1258215']",42
CID000003957,"['C0687713', 'C0000737', 'C0003811', 'C0007222', 'C0011991', 'C0039231', 'C0231528', 'C0030252', 'C0027497', 'C0002792', 'C0030193', 'C0015230', 'C0232461', 'C0240322', 'C0021053', 'C0015672', 'C0036974', 'C0020538', 'C0042769', 'C0085631', 'C0424295', 'C0023380', 'C0010200', 'C0040264', 'C0011603', 'C0267792', 'C0002170', 'C2830004', 'C2047937', 'C0004093', 'C0042963', 'C0232492', 'C0017152', 'C1443060', 'C0030554', 'C0041657', 'C0042023', 'C0948594', 'C0541832', 'C0917801', 'C0005758', 'C0085932', 'C0014591', 'C0009806', 'C0027769', 'C0011570', 'C0231919', 'C0687133', 'C0037274', 'C0013378', 'C0234215', 'C0031350', 'C0027765', 'C0028084', 'C0037036', 'C0013395', 'C0043352', 'C0008031', 'C0233494', 'C0012833', 'C0018681', 'C0231218', 'C0020649', 'C0002994', 'C0017178', 'C0015967', 'C0039070']",67
CID000003958,"['C0424296', 'C0013362', 'C0027497', 'C0151828', 'C0344232', 'C0575090', 'C3203358', 'C0836924', 'C0009421', 'C0009676', 'C0023380', 'C0242350', 'C0020542', 'C0002170', 'C0403632', 'C0162297', 'C0004093', 'C0020672', 'C0001122', 'C0020039', 'C0015371', 'C0009806', 'C0233794', 'C0022107', 'C0233632', 'C0917799', 'C0235146', 'C0037036', 'C1145670', 'C0017181', 'C0012569', 'C0020517', 'C0030312', 'C0022346', 'C0031039', 'C0160390', 'C0522224', 'C0003578', 'C0027849', 'C0085593', 'C0027066', 'C0042571', 'C0011603', 'C0233795', 'C0858797', 'C2830004', 'C0010692', 'C1306341', 'C1443060', 'C0235195', 'C0232849', 'C0338831', 'C0033975', 'C0851578', 'C0011206', 'C0233494', 'C0018681', 'C0242184', 'C0021141', 'C0085612', 'C0032326', 'C0001824', 'C0003811', 'C0039231', 'C0004245', 'C0521491', 'C0085631', 'C0018790', 'C0428977', 'C0151766', 'C0085628', 'C0009450', 'C0852911', 'C0151701', 'C0002622', 'C0017086', 'C0037315', 'C0600260', 'C0413252', 'C0042024', 'C1527311', 'C0036572', 'C0043352', 'C0085617', 'C0034063', 'C0151735', 'C0233407', 'C0235063', 'C0029408', 'C0023518', 'C0017178', 'C0424000', 'C0018524', 'C0030193', 'C0015230', 'C0020578', 'C0005779', 'C0015672', 'C0020538', 'C0001807', 'C0040034', 'C0549249', 'C0042963', 'C0041834', 'C0027769', 'C0002884', 'C0020625', 'C0004134', 'C3665347', 'C0012833', 'C0020649', 'C0040822', 'C0151763', 'C0855775']",114
CID000003961,"['C0020461', 'C0042029', 'C0006277', 'C0027497', 'C0344232', 'C0028734', 'C0013404', 'C0009676', 'C0242350', 'C0037023', 'C0002170', 'C0232462', 'C0026858', 'C2047937', 'C0542571', 'C0948525', 'C0004093', 'C0855242', 'C0030554', 'C0151786', 'C0017979', 'C0020580', 'C0014591', 'C0003469', 'C0009806', 'C0233794', 'C0020615', 'C0016382', 'C0031350', 'C0042373', 'C0149931', 'C0023530', 'C0042514', 'C1368065', 'C0020517', 'C0022346', 'C3263723', 'C0015967', 'C0002871', 'C0016204', 'C0740394', 'C0687713', 'C0000737', 'C0011991', 'C0231528', 'C0038999', 'C0221185', 'C0035455', 'C0007642', 'C0013491', 'C0040264', 'C0042571', 'C0011603', 'C0020456', 'C2830004', 'C1443060', 'C0017152', 'C0041657', 'C0027424', 'C0011849', 'C0038325', 'C0041349', 'C0031117', 'C0009763', 'C0030319', 'C1565489', 'C0014457', 'C0041912', 'C0004604', 'C0011882', 'C0851578', 'C0040460', 'C0233494', 'C0018681', 'C0042384', 'C0231218', 'C0021400', 'C0002994', 'C0037763', 'C0019054', 'C0030469', 'C0020564', 'C0039070', 'C0014518', 'C0001824', 'C0003811', 'C0039231', 'C0030252', 'C0016053', 'C0035078', 'C0036974', 'C0002874', 'C0085631', 'C0151908', 'C0151539', 'C0237849', 'C2364164', 'C0009450', 'C0085610', 'C0262988', 'C1291078', 'C0042023', 'C0032285', 'C0235431', 'C0600260', 'C0030305', 'C0004238', 'C0027765', 'C0476273', 'C0013395', 'C0043352', 'C0003467', 'C0034063', 'C0008031', 'C0018099', 'C0235416', 'C0085580', 'C0002878', 'C0020651', 'C0035410', 'C0013604', 'C0030196', 'C0162830', 'C0003864', 'C0043094', 'C0002962', 'C0002792', 'C0030193', 'C0015230', 'C0034150', 'C0015672', 'C0037199', 'C0086543', 'C0010200', 'C0006145', 'C0040034', 'C0022354', 'C0264906', 'C0042510', 'C0027121', 'C0948594', 'C0042109', 'C0014742', 'C0041834', 'C0042963', 'C0003862', 'C0917801', 'C0027769', 'C0011606', 'C0152031', 'C0013378', 'C0020625', 'C0234215', 'C0004134', 'C0011124', 'C0012833', 'C0034152', 'C0019158', 'C0020458', 'C1318520', 'C0020649', 'C0040822', 'C0033774']",163
CID000003964,"['C0038454', 'C0013362', 'C0027497', 'C0344232', 'C0013404', 'C0686347', 'C0009676', 'C0002170', 'C0004093', 'C0030554', 'C0020580', 'C0015371', 'C0009806', 'C0392676', 'C0042373', 'C0037036', 'C0023530', 'C0020517', 'C0022346', 'C0241442', 'C0700184', 'C0160390', 'C0235660', 'C0085583', 'C0027849', 'C0043144', 'C0011603', 'C0085623', 'C2830004', 'C1443060', 'C0011168', 'C0041657', 'C0027424', 'C0085637', 'C0033975', 'C0233494', 'C0018418', 'C0018681', 'C0575081', 'C0025061', 'C0037763', 'C0013384', 'C0085602', 'C0039070', 'C0036508', 'C0001824', 'C0039231', 'C0035078', 'C0036974', 'C0085631', 'C0017601', 'C0043096', 'C0006266', 'C0030446', 'C0424448', 'C0314719', 'C0231530', 'C0027765', 'C0036572', 'C0043352', 'C0235063', 'C0008031', 'C0017178', 'C0020651', 'C0392156', 'C0013604', 'C0278134', 'C0162830', 'C0043094', 'C0015230', 'C0015672', 'C0020538', 'C0010200', 'C0040034', 'C0236071', 'C0042963', 'C0080274', 'C0917801', 'C0013378', 'C0156404', 'C0235710', 'C0002453', 'C0026837', 'C0012833', 'C0019158', 'C0020649', 'C0040822', 'C0033774', 'C0151763', 'C0855775', 'C0393593']",91
CID000003998,"['C0011991', 'C0038999', 'C0030193', 'C0015230', 'C0020578', 'C0518015', 'C0019080', 'C2939465', 'C0011603', 'C0542571', 'C3544060', 'C0042109', 'C0041834', 'C0001122', 'C0005758', 'C0085932', 'C0012739', 'C0015256', 'C0014457', 'C0032708', 'C0085624', 'C0220981', 'C0231835', 'C0030312', 'C0002878', 'C0033774']",26
CID000004004,"['C0009763', 'C1325847']",2
CID000004011,"['C0038454', 'C0013362', 'C0038362', 'C0027497', 'C0344232', 'C0006384', 'C0009676', 'C0242350', 'C0011615', 'C0520966', 'C0267792', 'C0002170', 'C0026961', 'C0004093', 'C0014130', 'C0855242', 'C0030554', 'C0151786', 'C0020580', 'C0005940', 'C0015371', 'C0009806', 'C0039239', 'C0233794', 'C0241934', 'C0016382', 'C0028084', 'C0042373', 'C0037036', 'C0023530', 'C0042514', 'C1368065', 'C0011334', 'C0030312', 'C0022346', 'C0015967', 'C0042035', 'C0235660', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0027066', 'C0027051', 'C0040264', 'C0497247', 'C0011603', 'C0152128', 'C2830004', 'C1443060', 'C0011168', 'C0041657', 'C0027424', 'C0038325', 'C2225524', 'C0011253', 'C0151611', 'C0031117', 'C0338831', 'C0037274', 'C0014457', 'C0236075', 'C0033975', 'C0024205', 'C0206062', 'C0011551', 'C0344315', 'C0851578', 'C0011206', 'C0233494', 'C0018418', 'C0018681', 'C0025061', 'C0013384', 'C0021141', 'C0039070', 'C0014518', 'C0001824', 'C0003811', 'C0232461', 'C0039231', 'C0030252', 'C0004245', 'C0036974', 'C0085631', 'C0151596', 'C0424295', 'C0043096', 'C0006266', 'C0030446', 'C0151766', 'C0009450', 'C0233754', 'C0262988', 'C0042023', 'C0948089', 'C0040479', 'C0027765', 'C0036572', 'C0013395', 'C0043352', 'C2584688', 'C0003467', 'C0233407', 'C1384353', 'C0029408', 'C0162429', 'C0017178', 'C0020651', 'C0392156', 'C0013604', 'C0002390', 'C0278134', 'C0018524', 'C0162830', 'C0043094', 'C0034150', 'C0015230', 'C0264886', 'C0015672', 'C0020538', 'C0042075', 'C0001807', 'C0006145', 'C0040034', 'C0600142', 'C0854382', 'C0042510', 'C0042963', 'C0042109', 'C0014742', 'C0080274', 'C0429098', 'C0917801', 'C0027769', 'C0015397', 'C0031256', 'C0013378', 'C0004134', 'C0011124', 'C0086132', 'C0012833', 'C0018799', 'C0019158', 'C0020458', 'C0020649', 'C0040822', 'C0033774']",148
CID000004030,"['C0025323', 'C0011603', 'C0687713', 'C0000737', 'C0001824', 'C0020517', 'C0027947', 'C0019158', 'C0015230', 'C0002994', 'C0042109', 'C0036572']",12
CID000004031,"['C0011603', 'C0012833', 'C0002792', 'C0232462', 'C0015230', 'C0018681', 'C0020517', 'C0231218', 'C0002994', 'C2047937', 'C0021053', 'C0234215', 'C0042109', 'C1443060', 'C0542571', 'C0013395', 'C0917801']",17
CID000004032,"['C0234987', 'C0027497', 'C0017675', 'C0344232', 'C0015672', 'C0036974', 'C0242350', 'C0016059', 'C0026961', 'C0232462', 'C0004093', 'C0042963', 'C0855242', 'C0041657', 'C0030554', 'C0080274', 'C0009806', 'C0008489', 'C0036572', 'C0011124', 'C0034063', 'C0012833', 'C0040822', 'C0020651', 'C1258215', 'C0039070']",26
CID000004033,"['C0242528', 'C0001824', 'C0011991', 'C0027497', 'C0002792', 'C0240322', 'C0015230', 'C0037299', 'C0518015', 'C0019080', 'C0040264', 'C0042571', 'C0011603', 'C0040034', 'C0002170', 'C0232462', 'C0009450', 'C0007114', 'C0028961', 'C0042963', 'C0014742', 'C0005758', 'C0085932', 'C0162627', 'C0011570', 'C0031256', 'C0019360', 'C0040053', 'C0004509', 'C0037274', 'C0243065', 'C0002453', 'C0023530', 'C0020517', 'C0024312', 'C0030312', 'C0162834', 'C0002878', 'C0022346', 'C0028949', 'C0033774', 'C0040046']",42
CID000004034,"['C0018681', 'C0002792', 'C0344232', 'C2830004', 'C0340865', 'C0004093', 'C0015672', 'C0043352']",8
CID000004036,"['C0687713', 'C0000737', 'C0001824', 'C0011991', 'C0038362', 'C0030252', 'C0027497', 'C0027947', 'C0344232', 'C0857305', 'C0518015', 'C0019080', 'C0035078', 'C0015672', 'C0028734', 'C0040264', 'C0009319', 'C0030446', 'C0002170', 'C0022354', 'C0232462', 'C2047937', 'C0004093', 'C0042963', 'C0042109', 'C1443060', 'C0014742', 'C0030554', 'C0917801', 'C0038325', 'C0009806', 'C0234632', 'C0011606', 'C0009763', 'C0036830', 'C0456909', 'C0022081', 'C0014457', 'C0234215', 'C0023530', 'C0024141', 'C0231218', 'C0002878', 'C0017178', 'C0033774', 'C0013604', 'C0014743', 'C0041582']",48
CID000004044,"['C0948586', 'C0085605', 'C0038362', 'C0027497', 'C0344232', 'C0019212', 'C0497156', 'C0019080', 'C0009421', 'C0013404', 'C0009676', 'C0002170', 'C0403632', 'C0232462', 'C0235996', 'C2047937', 'C0004093', 'C0030554', 'C0027726', 'C0009806', 'C0013447', 'C0025222', 'C0017658', 'C0023530', 'C0017181', 'C1368065', 'C1384666', 'C0030312', 'C0022346', 'C0015967', 'C0002871', 'C0016204', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0267596', 'C0017675', 'C1167965', 'C0013491', 'C0235266', 'C0027051', 'C0009319', 'C0040264', 'C0042571', 'C0011603', 'C0020456', 'C0004936', 'C2830004', 'C0010692', 'C0028961', 'C1443060', 'C0017152', 'C0041657', 'C0232849', 'C0038325', 'C0011053', 'C0041349', 'C0271650', 'C0009763', 'C0037274', 'C1565489', 'C0014457', 'C0855775', 'C0151664', 'C0014868', 'C1535950', 'C0233494', 'C0018681', 'C0042384', 'C0231218', 'C0002994', 'C0013456', 'C0039070', 'C0041582', 'C0014356', 'C0014518', 'C0001824', 'C0003811', 'C0004096', 'C0039231', 'C0030252', 'C0035078', 'C0036974', 'C0002874', 'C0151766', 'C0009450', 'C0032617', 'C0948089', 'C0032285', 'C0018802', 'C0030305', 'C0036572', 'C0014724', 'C0013395', 'C0043352', 'C0003467', 'C0235063', 'C0002878', 'C0017178', 'C0013604', 'C0243026', 'C0018524', 'C0162830', 'C0034150', 'C0002792', 'C0015230', 'C0033687', 'C0518015', 'C0020538', 'C0042075', 'C0040034', 'C0022354', 'C0030920', 'C0042963', 'C0042109', 'C0014742', 'C0002880', 'C0917801', 'C1167709', 'C0027769', 'C0011606', 'C0020625', 'C0234215', 'C0268000', 'C0022667', 'C0151529', 'C0018926', 'C0013428', 'C0038238', 'C0012833', 'C0019158', 'C0025289', 'C0020649', 'C0340865', 'C0040822', 'C0018965', 'C0033774', 'C0025290']",139
